[05/17 09:40:54] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x481E184C
[09/26 16:23:13] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x49D0C6FB
[10/07 12:45:16] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x48FB4EF6
[10/07 12:45:16] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x48FC23F0
[10/07 12:45:16] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x4901255F
[10/07 12:45:16] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x491AFFC8
[10/07 12:45:17] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x49005594
[10/07 12:45:17] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x491BCFFD
[10/07 12:45:17] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x48FA829F
[10/07 12:45:18] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x491AF1B5
[10/07 12:45:18] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x490051A4
[10/07 12:45:18] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x49004E17
[10/07 12:45:19] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x49004F08
[10/07 12:45:20] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x4927A1DE
[10/14 22:35:46] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x49F731ED
[10/14 22:35:52] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x49F75476
[10/14 22:35:52] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x49F76003
[10/14 22:35:52] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x49F778A5
[10/14 22:35:52] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x49F733A5
[10/14 22:35:52] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x49F73547
[10/14 22:35:52] [pkg/items/sysbook/book/onDestroy.ecl]: Deleting datafile elem for book 0x49F73C4A
